    birthday    ,   first_name   ,   last_name   ,   salary   
   2024-01-01   ,     agdsdgs    ,    dgsaadgs   ,     500    
   2024-05-01   ,       Max      ,   Mustermax   ,     300    
   2024-01-01   ,       Max      ,   Musterman   ,    50000   
   2024-01-01   ,      Max1      ,   Musterman   ,    50000   
   2024-01-01   ,      Max1      ,   Musterman   ,    50000   
   2024-01-01   ,      Max1      ,   Musterman   ,    50000   
   2024-01-01   ,       Max      ,   Musterman   ,    50000   
   2024-01-01   ,     Max123     ,   Musterman   ,    50000   
   2016-03-14   ,   Maximilian   ,       Ka      ,      5     
   1978-10-14   ,      Paul      ,    Peterson   ,    5000    
   1956-03-23   ,      Peter     ,    Hamilton   ,    3400    
   1982-05-04   ,     Martha     ,      Mayr     ,    2900    
   1994-02-29   ,     Barbara    ,   Streusand   ,    1500    
    1975-3-05   ,      Nass      ,      Anna     ,    1200    
   1978-10-14   ,      Paul      ,    Peterson   ,    5000    
   1956-03-23   ,      Peter     ,    Hamilton   ,    3400    
   1982-05-04   ,     Martha     ,      Mayr     ,    2900    
   1994-02-29   ,     Barbara    ,   Streusand   ,    1500    
    1975-3-05   ,      Nass      ,      Anna     ,    1200    
   1978-10-14   ,      Paul      ,    Peterson   ,    5000    
   1956-03-23   ,      Peter     ,    Hamilton   ,    3400    
   1982-05-04   ,     Martha     ,      Mayr     ,    2900    
   1994-02-29   ,     Barbara    ,   Streusand   ,    1500    
    1975-3-05   ,      Nass      ,      Anna     ,    1200    
   1978-10-14   ,      Paul      ,    Peterson   ,    5000    
   1956-03-23   ,      Peter     ,    Hamilton   ,    3400    
   1982-05-04   ,     Martha     ,      Mayr     ,    2900    
   1994-02-29   ,     Barbara    ,   Streusand   ,    1500    
    1975-3-05   ,      Nass      ,      Anna     ,    1200    
   1978-10-14   ,      Paul      ,    Peterson   ,    5000    
   1956-03-23   ,      Peter     ,    Hamilton   ,    3400    
   1982-05-04   ,     Martha     ,      Mayr     ,    2900    
   1994-02-29   ,     Barbara    ,   Streusand   ,    1500    
    1975-3-05   ,      Nass      ,      Anna     ,    1200    
   1978-10-14   ,      Paul      ,    Peterson   ,    5000    
   1956-03-23   ,      Peter     ,    Hamilton   ,    3400    
   1982-05-04   ,     Martha     ,      Mayr     ,    2900    
   1994-02-29   ,     Barbara    ,   Streusand   ,    1500    
    1975-3-05   ,      Nass      ,      Anna     ,    1200    
   1978-10-14   ,      Paul      ,    Peterson   ,    5000    
   1956-03-23   ,      Peter     ,    Hamilton   ,    3400    
   1982-05-04   ,     Martha     ,      Mayr     ,    2900    
   1994-02-29   ,     Barbara    ,   Streusand   ,    1500    
    1975-3-05   ,      Nass      ,      Anna     ,    1200    
   1978-10-14   ,      Paul      ,    Peterson   ,    5000    
   1956-03-23   ,      Peter     ,    Hamilton   ,    3400    
   1982-05-04   ,     Martha     ,      Mayr     ,    2900    
   1994-02-29   ,     Barbara    ,   Streusand   ,    1500    
    1975-3-05   ,      Nass      ,      Anna     ,    1200    
   1978-10-14   ,      Paul      ,    Peterson   ,    5000    
   1956-03-23   ,      Peter     ,    Hamilton   ,    3400    
   1982-05-04   ,     Martha     ,      Mayr     ,    2900    
   1994-02-29   ,     Barbara    ,   Streusand   ,    1500    
    1975-3-05   ,      Nass      ,      Anna     ,    1200    
   1978-10-14   ,      Paul      ,    Peterson   ,    5000    
   1956-03-23   ,      Peter     ,    Hamilton   ,    3400    
   1982-05-04   ,     Martha     ,      Mayr     ,    2900    
   1994-02-29   ,     Barbara    ,   Streusand   ,    1500    
    1975-3-05   ,      Nass      ,      Anna     ,    1200    
                ,                ,               ,            
